0;roundrobin;SMA;1.915921470;406;0.076;.076;0.0423559013427496
2;roundrobin;ssa;2.074296347;115;0.015;.209;0.0189752485931269
4;roundrobin;SMA;1.953943998;346;0.044;.267;0.0427559244477954
1;roundrobin;SMA;2.201993266;198;0.118;.194;0.0260920139484302
3;roundrobin;SMA;2.255331596;27;0.014;.223;0.0044156703260322
5;roundrobin;SMA;2.320768865;29;0.289;.556;0.0044156703260322
6;roundrobin;ssa;2.283056036;488;0.123;.679;0.0468428353029938
8;roundrobin;ssa;2.221063414;583;0.096;.829;0.0657184273159393
9;roundrobin;SMA;2.353661504;211;0.015;.844;0.0262853423085934
7;roundrobin;ssa;2.658469326;332;0.054;.733;0.0377148729094167
10;roundrobin;ssa;2.325464248;263;0.139;.983;0.0351769567303275
12;roundrobin;seadec;2.024937078;150;0.124;1.183;0.0196202016385114
11;roundrobin;seadec;2.319864215;132;0.076;1.059;0.0194549251238626
14;roundrobin;ssa;2.205438158;549;0.105;1.730;0.0639327156526897
13;roundrobin;ssa;2.467347220;343;0.442;1.625;0.0377148729094167
15;roundrobin;seadec;2.309594118;74;0.104;1.834;0.00929623085818988
16;roundrobin;seadec;2.021945449;89;0.188;2.022;0.0240361194750053
18;roundrobin;seadec;1.910792373;157;0.034;2.121;0.0200366493973128
17;roundrobin;ssa;2.514578419;586;0.065;2.087;0.0658004472335592
20;roundrobin;ssa;2.228263670;523;0.236;2.416;0.0482841409439691
22;roundrobin;ssa;2.276056245;597;0.029;2.509;0.0658004472335592
19;roundrobin;ssa;3.071824063;335;0.059;2.180;0.0377148729094167
24;roundrobin;ssa;2.300070449;255;0.011;2.577;0.034465109395276
26;roundrobin;seadec;2.156962125;148;0.058;2.641;0.0196202016385114
23;roundrobin;SMA;2.606476969;215;0.057;2.566;0.0262853423085934
25;roundrobin;SMA;2.585429508;214;0.006;2.583;0.0262853423085934
21;roundrobin;ssa;3.131793321;421;0.064;2.480;0.0450325086617828
28;roundrobin;ssa;2.340111376;499;0.117;3.154;0.0472776063296307
30;roundrobin;ssa;2.369972892;343;0.144;3.398;0.0377148729094167
31;roundrobin;seadec;2.441951814;85;0.004;3.402;0.0240361194750053
32;roundrobin;ssa;2.388230327;272;0.032;3.434;0.0351994025147571
34;roundrobin;seadec;2.166662974;161;0.02;3.586;0.0200366493973128
29;roundrobin;SMA;2.841401589;418;0.1;3.254;0.0423559013427496
27;roundrobin;ssa;3.199713027;441;0.396;3.037;0.0464705153781347
36;roundrobin;SMA;2.036724708;366;0.03;3.718;0.0400802183599336
38;roundrobin;SMA;1.971419307;235;0.075;3.866;0.0294444332989678
40;roundrobin;ssa;2.141290141;242;0.108;3.998;0.034465109395276
33;roundrobin;ssa;3.087389078;556;0.132;3.566;0.0650104625049824
37;roundrobin;seadec;2.948938389;66;0.073;3.791;0.00929623085818988
42;roundrobin;ssa;2.193454557;502;0.129;4.230;0.0472776063296307
44;roundrobin;seadec;2.032827624;78;0.055;4.410;0.0240361194750053
39;roundrobin;ssa;3.238943953;557;0.024;3.890;0.0650104625049824
35;roundrobin;ssa;3.956070939;497;0.102;3.688;0.0472776063296307
47;roundrobin;ssa;2.121764380;120;0.099;4.668;0.0189752485931269
46;roundrobin;SMA;2.634309280;217;0.129;4.569;0.0262853423085934
41;roundrobin;ssa;3.619016085;331;0.103;4.101;0.0377148729094167
50;roundrobin;SMA;1.988492116;211;0.042;4.962;0.0262853423085934
49;roundrobin;ssa;2.305123346;442;0.201;4.920;0.0464705153781347
48;roundrobin;ssa;2.711611035;583;0.051;4.719;0.0657184273159393
43;roundrobin;ssa;3.863919052;519;0.125;4.355;0.0482841409439691
45;roundrobin;SMA;3.958328845;177;0.03;4.440;0.0303277073168743
52;roundrobin;ssa;2.226740653;570;0.322;5.502;0.0650104625049824
54;roundrobin;SMA;2.020940707;38;0.059;5.617;0.00572928357269349
53;roundrobin;SMA;2.594544242;374;0.056;5.558;0.0400802183599336
56;roundrobin;ssa;2.310713660;454;0.021;5.736;0.0462637861154206
58;roundrobin;SMA;2.043074903;16;0.111;5.878;0.0044156703260322
55;roundrobin;SMA;2.522237126;213;0.098;5.715;0.0262853423085934
51;roundrobin;SMA;3.293351606;35;0.218;5.180;0.00572928357269349
60;roundrobin;SMA;2.012735008;14;0.009;5.964;0.00312822529954525
57;roundrobin;seadec;2.784346802;145;0.031;5.767;0.0196202016385114
62;roundrobin;ssa;2.281154185;447;0.025;6.100;0.0464705153781347
63;roundrobin;SMA;2.453910204;395;0.157;6.257;0.0386866425310276
59;roundrobin;seadec;3.136248876;153;0.077;5.955;0.0200366493973128
64;roundrobin;ssa;2.149921705;593;0.483;6.740;0.0658004472335592
61;roundrobin;ssa;3.106530894;499;0.111;6.075;0.0472776063296307
65;roundrobin;ssa;2.652348520;253;0.043;6.783;0.034465109395276
66;roundrobin;ssa;2.287350373;325;0.273;7.056;0.0369276456170677
69;roundrobin;SMA;1.996691391;232;0.084;7.335;0.0294444332989678
71;roundrobin;seadec;1.877138329;154;0.231;7.744;0.0200366493973128
67;roundrobin;ssa;2.859349845;524;0.114;7.170;0.0482841409439691
72;roundrobin;SMA;1.900128486;230;0.291;8.035;0.0294444332989678
74;roundrobin;SMA;1.852417207;42;0.039;8.103;0.00572928357269349
70;roundrobin;ssa;2.653762230;117;0.178;7.513;0.0189752485931269
76;roundrobin;SMA;1.856529293;198;0.035;8.143;0.0260920139484302
78;roundrobin;seadec;1.917795247;147;0.081;8.381;0.0196202016385114
73;roundrobin;SMA;2.614959094;415;0.029;8.064;0.0423559013427496
75;roundrobin;SMA;2.543882008;202;0.005;8.108;0.0260920139484302
68;roundrobin;ssa;4.055633808;518;0.081;7.251;0.0482841409439691
77;roundrobin;SMA;2.610843232;227;0.157;8.300;0.0294444332989678
80;roundrobin;ssa;2.283932393;535;0.039;8.696;0.0656320663227048
82;roundrobin;ssa;2.391017455;558;0.082;8.879;0.0650104625049824
81;roundrobin;SMA;2.576021891;397;0.101;8.797;0.0386866425310276
84;roundrobin;SMA;2.206584786;361;0.228;9.113;0.0400802183599336
79;roundrobin;SMA;2.905130239;349;0.276;8.657;0.0427559244477954
87;roundrobin;seadec;2.025527177;47;0.123;9.474;0.00853866866997741
83;roundrobin;ssa;3.100211557;479;0.006;8.885;0.0463158279553995
86;roundrobin;ssa;2.829072453;540;0.158;9.351;0.0656320663227048
85;roundrobin;ssa;3.127989460;336;0.08;9.193;0.0377148729094167
88;roundrobin;seadec;2.523664513;105;0.135;9.609;0.0200421445003984
90;roundrobin;ssa;2.339087570;288;0.104;9.923;0.0354027676498525
89;roundrobin;SMA;2.589964339;363;0.21;9.819;0.0400802183599336
92;roundrobin;SMA;2.136119618;230;0.104;10.072;0.0294444332989678
